Name Vorleistung;Institution / Anbieter;Modul;Kursname;Modulcode;ECTS;Zusatz;Nummer;Prfungsleistung;URL;Art der Vorleistung;Geprft von;Geprft am;Rahmenlehrplan / Modulhandbuch;;Bemerkung;;;;;;;;;;;
Staatlich anerkannter Altenpfleger;;Ambulante Kranken- und Altenpflege;Ambulante Kranken- und Altenpflege I;DLBPMAKAP01;5;*zur Wahl;1;;;Ausbildung;;;;;;;;;;;;;;;;
Staatlich anerkannter Altenpfleger;;Gesundheit und Pr„vention;Gesundheit und Pr„vention;DLGGUP01;5;;1;;;;;;;;;;;;;;;;;;;
Staatlich anerkannter Altenpfleger;;Kollaboratives Arbeiten;Kollaboratives Arbeiten;DLBKA01;5;;1;;;;;;;;;;;;;;;;;;;
Staatlich anerkannter Altenpfleger;;Sozialpolitik;Sozialpolitik;DLGSPO01-01;5;;1;;;;;;;;;;;;;;;;;;;
Staatlich anerkannter Altenpfleger;;Station„re Kranken- und Altenpflege;Station„re Kranken- und Altenpflege I;DLBPMSKAP02;5;*zur Wahl;1;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
Bankkaufmann/-frau;IHK;Betriebswirtschaftslehre;BWL I;BBWL01-01;3;;2;;https://www.iubh-fernstudium.de/modul/betriebswirtschaftslehre-bbwl-01/;;;;;;;;;;;;;;;;;
Bankkaufmann/-frau;IHK;Buchfhrung und Bilanzierung;Buchfhrung und Bilanzierung I;BBUB01-01;3;;2;;https://www.iubh-fernstudium.de/modul/buchfuehrung-und-bilanzierung-bbub-01/;;;;;;;;;;;;;;;;;
Bankkaufmann/-frau;IHK;Buchfhrung und Bilanzierung;Buchfhrung und Bilanzierung II;BBUB02-01;2;hier k”nnte noch was stehen;2;;https://www.iubh-fernstudium.de/modul/buchfuehrung-und-bilanzierung-bbub-01/;;;;;;;;;;;;;;;;;
Bankkaufmann/-frau;IHK;Computer Training;Computer Training;BCTR01-01;5;*zur Wahl;2;;;;;;;;;;;;;;;;;;;
Bankkaufmann/-frau;IHK;Financial Services Management I;Financial Services Management I;BWFS01;5;;2;;;;;;;;;;;;;;;;;;;
Bankkaufmann/-frau;IHK;Kollaboratives Arbeiten;Kollaboratives Arbeiten;DLBKA01;5;;2;;;;;;;;;;;;;;;;;;;
Bankkaufmann/-frau;IHK;Kosten- und Leistungsrechnung;Kosten- und Leistungsrechnung I;BKLR01-01;3;;2;;;;;;;;;;;;;;;;;;;
Bankkaufmann/-frau;IHK;Marketing;Marketing I;BMAR01-01;3;;2;;;;;;;;;;;;;;;;;;;
Bankkaufmann/-frau;IHK;™konomie und Markt;™konomie und Markt;DLBOUM01;5;;2;;;;;;;;;;;;;;;;;;;
Bankkaufmann/-frau;IHK;Recht;Recht I;BREC01-02;3;;2;;;;;;;;;;;;;;;;;;;
