Name Vorleistung,Modul,Modulcode,Kursname,Kurscode,ECTS,Bemerkung,URL,Art Vorleistung,Studiengang
Fachangestellte/-r für Arbeitsförderung,Makroökonomie,BMAK,Makroökonomie I (Einführung),BMAK01,3,,http://www.iubh-fernstudium.de/kurs/makrooekonomie-einfuehrung/,Ausbildung,B.A. Betriebswirtschaftslehre_Studienstart bis 31.08.2019
Immobilienfachwirt/-in IHK,Makroökonomie,BMAK,Makroökonomie I (Einführung),BMAK01,3,,http://www.iubh-fernstudium.de/kurs/makrooekonomie-einfuehrung/,Ausbildung,B.A. Betriebswirtschaftslehre_Studienstart bis 31.08.2019
Immobilienfachwirt/-in IHK,Immobilienmanagement,BWIM,Immobilienmanagement I,BWIM01,5,Beachte: WAHLPFLICHTFACH!,http://www.iubh-fernstudium.de/kurs/immobilienmanagement-i/,Ausbildung,B.A. Betriebswirtschaftslehre_Studienstart bis 31.08.2019
Immobilienfachwirt/-in IHK,Immobilienmanagement,BWIM,Immobilienmanagement II,BWIM02,5,Beachte: WAHLPFLICHTFACH!,http://www.iubh-fernstudium.de/kurs/immobilienmanagement-ii/,Ausbildung,B.A. Betriebswirtschaftslehre_Studienstart bis 31.08.2019
Immobilienfachwirt/-in IHK,Investition,BINV,Investition I (Einführung),BINV01,3,,http://www.iubh-fernstudium.de/kurs/investition-einfuehrung/,Ausbildung,B.A. Betriebswirtschaftslehre_Studienstart bis 31.08.2019
Assistent/-in für Hotelmanagement,Personalwesen,BPER,Personalwesen I (Einführung),BPER01,3,,http://www.iubh-fernstudium.de/kurs/personalwesen-einfuehrung/,Ausbildung,B.A. Betriebswirtschaftslehre_Studienstart bis 31.08.2019
Fachmann/-frau für Systemgastronomie IHK,Personalwesen,BPER,Personalwesen I (Einführung),BPER01,3,,http://www.iubh-fernstudium.de/kurs/personalwesen-einfuehrung/,Ausbildung,B.A. Betriebswirtschaftslehre_Studienstart bis 31.08.2019
Hotelkaufmann/-frau IHK,Personalwesen,BPER,Personalwesen I (Einführung),BPER01,3,,http://www.iubh-fernstudium.de/kurs/personalwesen-einfuehrung/,Ausbildung,B.A. Betriebswirtschaftslehre_Studienstart bis 31.08.2019
Industriekaufmann/-frau IHK,Personalwesen,BPER,Personalwesen I (Einführung),BPER01,3,,http://www.iubh-fernstudium.de/kurs/personalwesen-einfuehrung/,Ausbildung,B.A. Betriebswirtschaftslehre_Studienstart bis 31.08.2019
Kaufmann/-frau für Büromanagement,Personalwesen,BPER,Personalwesen I (Einführung),BPER01,3,,http://www.iubh-fernstudium.de/kurs/personalwesen-einfuehrung/,Ausbildung,B.A. Betriebswirtschaftslehre_Studienstart bis 31.08.2019
Kaufmann/-frau für Dialogmarketing IHK,Personalwesen,BPER,Personalwesen I (Einführung),BPER01,3,,http://www.iubh-fernstudium.de/kurs/personalwesen-einfuehrung/,Ausbildung,B.A. Betriebswirtschaftslehre_Studienstart bis 31.08.2019
Kaufmann/-frau für Einzelhandel IHK,Personalwesen,BPER,Personalwesen I (Einführung),BPER01,3,,http://www.iubh-fernstudium.de/kurs/personalwesen-einfuehrung/,Ausbildung,B.A. Betriebswirtschaftslehre_Studienstart bis 31.08.2019
Kaufmann/-frau für Gesundheitswesen IHK,Personalwesen,BPER,Personalwesen I (Einführung),BPER01,3,,http://www.iubh-fernstudium.de/kurs/personalwesen-einfuehrung/,Ausbildung,B.A. Betriebswirtschaftslehre_Studienstart bis 31.08.2019
Kaufmann/-frau für Groß- und Außenhandel IHK,Personalwesen,BPER,Personalwesen I (Einführung),BPER01,3,,http://www.iubh-fernstudium.de/kurs/personalwesen-einfuehrung/,Ausbildung,B.A. Betriebswirtschaftslehre_Studienstart bis 31.08.2019
Kaufmann/-frau für Verkehrsservice IHK,Personalwesen,BPER,Personalwesen I (Einführung),BPER01,3,,http://www.iubh-fernstudium.de/kurs/personalwesen-einfuehrung/,Ausbildung,B.A. Betriebswirtschaftslehre_Studienstart bis 31.08.2019
Medienkaufmann/-frau Digital und Print IHK,Personalwesen,BPER,Personalwesen I (Einführung),BPER01,3,,http://www.iubh-fernstudium.de/kurs/personalwesen-einfuehrung/,Ausbildung,B.A. Betriebswirtschaftslehre_Studienstart bis 31.08.2019
