Studiengang,Link
BA Soziale Arbeit,https://www.iubh-fernstudium.de/wp-content/uploads/2020/10/Bachelor-Soziale-Arbeit-FS-28.09.2020.pdf
BA Betriebswirtschaftslehre,https://www.iubh-fernstudium.de/wp-content/uploads/2020/10/Bachelor-Betriebswirtschaftslhere-FS-28.09.2020.pdf
Master Artificial Intelligence 120 (M.Sc.),https://www.iubh-fernstudium.de/wp-content/uploads/Modulhandbuch_FS-MAAI-120_Artificial-Intelligence_YWa_17.09.20191.pdf
Master Artificial Intelligence 60 (M.Sc.),https://www.iubh-fernstudium.de/wp-content/uploads/Modulhandbuch_FS-MAAI-60_Artificial-Intelligence_YWa_20.09.2019.pdf
Master Clinical Research Management (MBA),https://www.iubh-fernstudium.de/modulhandbuch/mba-clinical-research-management/
Master Computer Science,https://www.iubh-fernstudium.de/wp-content/uploads/MHB_MA_Computer-Science-120ECTS_SGo_27.01.2020.pdf
Master Computer Science in Cyber Security (M.Sc.),https://www.iubh-fernstudium.de/wp-content/uploads/Modulhandbuch_FS_FI_MACSIS_Computer-Science-in-IT-Security_19.09.2019.pdf
Master Controlling 120 (M.A.),https://www.iubh-fernstudium.de/modulhandbuch/master-controlling-120-ects/
Master Controlling 60 (M.A.),https://www.iubh-fernstudium.de/modulhandbuch/master-controlling-60-ects/
Master Data Science 120 (M.Sc.),https://www.iubh-fernstudium.de/wp-content/uploads/Modulhandbuch_FS-MADS-120_Data-Science_SGo_19.09.2019-1.pdf
Master Data Science 60 (M.Sc.),https://www.iubh-fernstudium.de/wp-content/uploads/Modulhandbuch_FS-MADS-60_Data-Science_SGo_19.09.2019.pdf
Master Digitale Transformation 60,noch nicht vorhanden
Master Digitale Transformation 120,noch nicht vorhanden
Master General Management (M.A.),https://www.iubh-fernstudium.de/wp-content/uploads/Modulhandbuch_FS-MAGM-01_YWa_23.08.2019.pdf
Master Gesundheitsmanagement 120 (M.A.),https://www.iubh-fernstudium.de/modulhandbuch/master-gesundheitsmanagement-120-ects/
Master Gesundheitsmanagement 60 (M.A.),https://www.iubh-fernstudium.de/modulhandbuch/master-gesundheitsmanagement-60-ects/
Master IT Management 120 (M.A.),https://www.iubh-fernstudium.de/wp-content/uploads/Modulhandbuch_FS-MAIT-120_IT_Management_SGo_20.09.2019.pdf
Master IT Management 60 (M.A.),https://www.iubh-fernstudium.de/wp-content/uploads/Studienablaufplan_FSMAIT_60_12.pdf
Master Marketingmanagement 120 (M.A.),http://www.iubh-fernstudium.de/modulhandbuch/master-marketingmanagement/
Master Marketingmanagement 60 (M.A.),http://www.iubh-fernstudium.de/modulhandbuch/master-marketing-mit-60/
Master of Business Administration 60 (MBA),https://www.iubh-fernstudium.de/modulhandbuch/master-business-administration-de-60-ects/
Master of Business Administration 90 (MBA),https://www.iubh-fernstudium.de/modulhandbuch/master-business-administration-mba-de-90-ects/
Master Personalmanagement 120 (M.A.),http://www.iubh-fernstudium.de/modulhandbuch/master-personalmanagement-m-a-120-ects/
Master Personalmanagement 60 (M.A.),http://www.iubh-fernstudium.de/modulhandbuch/master-personalmanagement/
Master Projektmanagement 120 (M.A.),https://www.iubh-fernstudium.de/modulhandbuch/master-projektmanagement-120-ects/
Master Projektmanagement 60 (M.A.),https://www.iubh-fernstudium.de/modulhandbuch/master-projektmanagement-60-ects/
Master Soziale Arbeit (M.A.),https://www.iubh-fernstudium.de/modulhandbuch/master-soziale-arbeit/
Master Wirtschaftsinformatik 120 (M.Sc.),http://www.iubh-fernstudium.de/modulhandbuch/master-wirtschaftsinformatik-m-sc-120-ects/
Master Wirtschaftsinformatik 60 (M.Sc.),http://www.iubh-fernstudium.de/modulhandbuch/master-wirtschaftsinformatik/
Master Wirtschaftspsychologie 120 (M.Sc.),https://www.iubh-fernstudium.de/modulhandbuch/master-wirtschaftspsychologie-m-sc-120-ects/
Master Wirtschaftspsychologie 60 (M.Sc.),https://www.iubh-fernstudium.de/modulhandbuch/master-wirtschaftspsychologie-m-sc-60-ects/
,
Bachelor Architektur,https://www.iubh-fernstudium.de/wp-content/uploads/Modulhandbuch_FS-BAAR-180_Architektur_DHa_04.02.2020.pdf
Bachelor Bauingenieurwesen,https://www.iubh-fernstudium.de/wp-content/uploads/MHB_Bachelor_Bauingenieurwesen_FS-BABI.pdf
Bachelor Bauprojektmanagement,https://www.iubh-fernstudium.de/wp-content/uploads/Modulhandbuch_FS-BABPM_Bauprojektmanagement_DHa_03.02.2020-1.pdf
Bachelor BWL,https://www.iubh-fernstudium.de/modulhandbuch/bachelor-betriebswirtschaftslehre/
Bachelor Data Science,https://www.iubh-fernstudium.de/wp-content/uploads/Modulhandbuch_FS-FI-BADSC_Data-Science_SGo_27.09.2019.pdf
Bachelor Digital Business,https://www.iubh-fernstudium.de/modulhandbuch/bachelor-digital-business/
Bachelor E-Commerce,https://www.iubh-fernstudium.de/modulhandbuch/bachelor-e-commerce-b-a/
Bachelor Ernährungswissenschaften,https://www.iubh-fernstudium.de/modulhandbuch/bachelor-ernaehrungswissenschaften-2/
Bachelor Eventmanagement (B.A.),https://www.iubh-fernstudium.de/modulhandbuch/bachelor-eventmanagement-b-a/
Bachelor Facility Management,https://www.iubh-fernstudium.de/wp-content/uploads/Modulhandbuch_FS-BAFAM_FacilityManagement_DHa_03.02.2020.pdf
Bachelor Finanzmanagement,https://www.iubh-fernstudium.de/wp-content/uploads/Modulhandbuch_FS-BAFM-01_Finanzmanagement-180_KSa_13.08.2019.pdf
Bachelor Fitnessökonomie,https://www.iubh-fernstudium.de/modulhandbuch/bachelor-fitnessoekonomie/
Bachelor Gesundheitsmanagement,https://www.iubh-fernstudium.de/wp-content/uploads/Modulhandbuch_FS-BAHCM-01_Gesundheitsmanagement_YWa_13.08.2019.pdf
Bachelor Gesundheitsökonomie,https://www.iubh-fernstudium.de/wp-content/uploads/Modulhandbuch_FS-BAGOE_Gesundheits%C3%B6konomie_SGo_04.02.2020.pdf
Bachelor Gesundheitspsychologie,https://www.iubh-fernstudium.de/wp-content/uploads/Modulhandbuch_FS-BAGP_Gesundheitspsychologie_YWa_06.08.2019.pdf
Bachelor Heilpädagogik,https://www.iubh-fernstudium.de/modulhandbuch/bachelor-heilpaedagogik-b-2/
Bachelor Hotelmanagement (B.A.),https://www.iubh-fernstudium.de/modulhandbuch/bachelor-hotelmanagement-b-a/
Bachelor Immobilienmanagement (B.A.),https://www.iubh-fernstudium.de/modulhandbuch/bachelor-immobilienmanagement-b-a/
Bachelor Informatik,https://www.iubh-fernstudium.de/modulhandbuch/bachelor-informatik-b-sc/#semester5
Bachelor International Management,https://www.iubh-fernstudium.de/modulhandbuch/bachelor-international-management/
Bachelor Kindheitspädagogik,https://www.iubh-fernstudium.de/modulhandbuch/bachelor-kindheitspaedagogik/
Bachelor Kommunikationsdesign,https://www.iubh-fernstudium.de/modulhandbuch/bachelor-kommunikationsdesign-b-a/
Bachelor Kommunikationspsychologie,https://www.iubh-fernstudium.de/wp-content/uploads/Modulhandbuch_FS-BAKPS_Kommunikationspsychologie_YWa_06.08.2019.pdf
Bachelor Logistikmanagement,https://www.iubh-fernstudium.de/modulhandbuch/bachelor-logistikmanagement/
Bachelor Marketing,https://www.iubh-fernstudium.de/wp-content/uploads/Modulhandbuch_FS-BAM-01_Marketing_YWa_16.08.2019.pdf
Bachelor Mediendesign,https://www.iubh-fernstudium.de/modulhandbuch/bachelor-mediendesign-b-2/
Bachelor Medieninformatik,https://www.iubh-fernstudium.de/modulhandbuch/bachelor-medieninformatik-b-sc-2/
Bachelor Medienmanagement,https://www.iubh-fernstudium.de/modulhandbuch/bachelor-medienmanagement-b-a/
Bachelor Modemanagement,https://www.iubh-fernstudium.de/wp-content/uploads/Modulhandbuch_FS-BAMOM_Modemanagement_YWa_04.02.20.pdf
Bachelor New Work,https://www.iubh-fernstudium.de/wp-content/uploads/Modulhandbuch_FS-BANW_New-Work_YWa_23.01.20-1.pdf
Bachelor OnlineMarketing,https://www.iubh-fernstudium.de/modulhandbuch/bachelor-online-marketing-b-a/
"Bachelor Pädagogik für Bildung, Beratung und Personalentwicklung",https://www.iubh-fernstudium.de/modulhandbuch/bachelor-paedagogik-b-2/
Bachelor Personalmanagement,https://www.iubh-fernstudium.de/wp-content/uploads/Modulhandbuch_FS-BAPM-01_Personalmanagement_KSa_09.09.2019.pdf
Bachelor Pflegemanagement,https://www.iubh-fernstudium.de/modulhandbuch/bachelor-pflegemanagement/
Bachelor Pflegepädagogik,https://www.iubh-fernstudium.de/modulhandbuch/bachelor-pflegepaedagogik/
